Ethnicity/Race Category,Estimated Nonzero Count
H/L: 2+ Races,0.08139986910672722
H/L: AI /AN,0.17089047637238797
H/L: Asian,0.21168941552922355
H/L: Black/AA,0.13486039930623475
H/L: NH/PI,0.33737194037175633
H/L: Other,0.038865315852205005
H/L: White,0.012050025584407802
Non-H/L: 2+ Races,0.009472951865793706
Non-H/L: AI /AN,0.06409948496250634
Non-H/L: Asian,0.0415759520262786
Non-H/L: Black/AA,0.017611529581866094
Non-H/L: NH/PI,0.20643736847552352
Non-H/L: Other,0.14946295897491116
Non-H/L: White,9.66747532969739e-4
